run_id,test_instance_id,method,initialization,targetnumpods,targetnumorders,targetnumitems,subproblemsevaluated,subproblemtimeinterval,timeforreooptimization,timeforsubproblemselection,tabutype,mlmodel,partitionobjective,stationtostation_flag,targetnumworkstations
1,1,LTO,none,24,20,72,50,360,30,30,lastopt10,partition,synergy,0,
2,1,LTO,none,24,20,72,50,360,20,20,lastopt10,partition,synergy,0,
3,1,LTO,none,24,20,72,50,360,10,10,lastopt10,partition,synergy,0,
4,1,LTO,none,24,20,72,50,360,30,30,lastoptall,partition,synergy,0,
5,1,LTO,none,24,20,72,50,360,20,20,lastoptall,partition,synergy,0,
6,1,LTO,none,24,20,72,50,360,10,10,lastoptall,partition,synergy,0,
7,1,LTO,none,24,20,72,50,360,30,30,tabu15,partition,synergy,0,
8,1,LTO,none,24,20,72,50,360,20,20,tabu15,partition,synergy,0,
9,1,LTO,none,24,20,72,50,360,10,10,tabu15,partition,synergy,0,
10,1,LTO,none,24,20,72,50,360,30,30,tabu8,partition,synergy,0,
11,1,LTO,none,24,20,72,50,360,20,20,tabu8,partition,synergy,0,
12,1,LTO,none,24,20,72,50,360,10,10,tabu8,partition,synergy,0,
13,1,LTO,none,24,20,72,50,360,30,30,orderedsp,partition,synergy,0,
14,1,LTO,none,24,20,72,50,360,20,20,orderedsp,partition,synergy,0,
15,1,LTO,none,24,20,72,50,360,10,10,orderedsp,partition,synergy,0,
16,1,LTO,none,24,20,72,50,360,30,30,lastopt10,partition,random,0,
17,1,LTO,none,24,20,72,50,360,20,20,lastopt10,partition,random,0,
18,1,LTO,none,24,20,72,50,360,10,10,lastopt10,partition,random,0,
19,1,LTO,none,24,20,72,50,360,30,30,lastoptall,partition,random,0,
20,1,LTO,none,24,20,72,50,360,20,20,lastoptall,partition,random,0,
21,1,LTO,none,24,20,72,50,360,10,10,lastoptall,partition,random,0,
22,1,LTO,none,24,20,72,50,360,30,30,tabu15,partition,random,0,
23,1,LTO,none,24,20,72,50,360,20,20,tabu15,partition,random,0,
24,1,LTO,none,24,20,72,50,360,10,10,tabu15,partition,random,0,
25,1,LTO,none,24,20,72,50,360,30,30,tabu8,partition,random,0,
26,1,LTO,none,24,20,72,50,360,20,20,tabu8,partition,random,0,
27,1,LTO,none,24,20,72,50,360,10,10,tabu8,partition,random,0,
28,1,LTO,none,24,20,72,50,360,30,30,orderedsp,partition,random,0,
29,1,LTO,none,24,20,72,50,360,20,20,orderedsp,partition,random,0,
30,1,LTO,none,24,20,72,50,360,10,10,orderedsp,partition,random,0,
31,1,LTO,none,24,20,72,50,360,30,30,lastopt10,partition,heuristic,0,
32,1,LTO,none,24,20,72,50,360,20,20,lastopt10,partition,heuristic,0,
33,1,LTO,none,24,20,72,50,360,10,10,lastopt10,partition,heuristic,0,
34,1,LTO,none,24,20,72,50,360,30,30,lastoptall,partition,heuristic,0,
35,1,LTO,none,24,20,72,50,360,20,20,lastoptall,partition,heuristic,0,
36,1,LTO,none,24,20,72,50,360,10,10,lastoptall,partition,heuristic,0,
37,1,LTO,none,24,20,72,50,360,30,30,tabu15,partition,heuristic,0,
38,1,LTO,none,24,20,72,50,360,20,20,tabu15,partition,heuristic,0,
39,1,LTO,none,24,20,72,50,360,10,10,tabu15,partition,heuristic,0,
40,1,LTO,none,24,20,72,50,360,30,30,tabu8,partition,heuristic,0,
41,1,LTO,none,24,20,72,50,360,20,20,tabu8,partition,heuristic,0,
42,1,LTO,none,24,20,72,50,360,10,10,tabu8,partition,heuristic,0,
43,1,LTO,none,24,20,72,50,360,30,30,orderedsp,partition,heuristic,0,
44,1,LTO,none,24,20,72,50,360,20,20,orderedsp,partition,heuristic,0,
45,1,LTO,none,24,20,72,50,360,10,10,orderedsp,partition,heuristic,0,
46,2,LTO,none,24,20,72,50,360,30,30,lastopt10,partition,synergy,0,
47,2,LTO,none,24,20,72,50,360,20,20,lastopt10,partition,synergy,0,
48,2,LTO,none,24,20,72,50,360,10,10,lastopt10,partition,synergy,0,
49,2,LTO,none,24,20,72,50,360,30,30,lastoptall,partition,synergy,0,
50,2,LTO,none,24,20,72,50,360,20,20,lastoptall,partition,synergy,0,
51,2,LTO,none,24,20,72,50,360,10,10,lastoptall,partition,synergy,0,
52,2,LTO,none,24,20,72,50,360,30,30,tabu15,partition,synergy,0,
53,2,LTO,none,24,20,72,50,360,20,20,tabu15,partition,synergy,0,
54,2,LTO,none,24,20,72,50,360,10,10,tabu15,partition,synergy,0,
55,2,LTO,none,24,20,72,50,360,30,30,tabu8,partition,synergy,0,
56,2,LTO,none,24,20,72,50,360,20,20,tabu8,partition,synergy,0,
57,2,LTO,none,24,20,72,50,360,10,10,tabu8,partition,synergy,0,
58,2,LTO,none,24,20,72,50,360,30,30,orderedsp,partition,synergy,0,
59,2,LTO,none,24,20,72,50,360,20,20,orderedsp,partition,synergy,0,
60,2,LTO,none,24,20,72,50,360,10,10,orderedsp,partition,synergy,0,
61,2,LTO,none,24,20,72,50,360,30,30,lastopt10,partition,random,0,
62,2,LTO,none,24,20,72,50,360,20,20,lastopt10,partition,random,0,
63,2,LTO,none,24,20,72,50,360,10,10,lastopt10,partition,random,0,
64,2,LTO,none,24,20,72,50,360,30,30,lastoptall,partition,random,0,
65,2,LTO,none,24,20,72,50,360,20,20,lastoptall,partition,random,0,
66,2,LTO,none,24,20,72,50,360,10,10,lastoptall,partition,random,0,
67,2,LTO,none,24,20,72,50,360,30,30,tabu15,partition,random,0,
68,2,LTO,none,24,20,72,50,360,20,20,tabu15,partition,random,0,
69,2,LTO,none,24,20,72,50,360,10,10,tabu15,partition,random,0,
70,2,LTO,none,24,20,72,50,360,30,30,tabu8,partition,random,0,
71,2,LTO,none,24,20,72,50,360,20,20,tabu8,partition,random,0,
72,2,LTO,none,24,20,72,50,360,10,10,tabu8,partition,random,0,
73,2,LTO,none,24,20,72,50,360,30,30,orderedsp,partition,random,0,
74,2,LTO,none,24,20,72,50,360,20,20,orderedsp,partition,random,0,
75,2,LTO,none,24,20,72,50,360,10,10,orderedsp,partition,random,0,
76,2,LTO,none,24,20,72,50,360,30,30,lastopt10,partition,heuristic,0,
77,2,LTO,none,24,20,72,50,360,20,20,lastopt10,partition,heuristic,0,
78,2,LTO,none,24,20,72,50,360,10,10,lastopt10,partition,heuristic,0,
79,2,LTO,none,24,20,72,50,360,30,30,lastoptall,partition,heuristic,0,
80,2,LTO,none,24,20,72,50,360,20,20,lastoptall,partition,heuristic,0,
81,2,LTO,none,24,20,72,50,360,10,10,lastoptall,partition,heuristic,0,
82,2,LTO,none,24,20,72,50,360,30,30,tabu15,partition,heuristic,0,
83,2,LTO,none,24,20,72,50,360,20,20,tabu15,partition,heuristic,0,
84,2,LTO,none,24,20,72,50,360,10,10,tabu15,partition,heuristic,0,
85,2,LTO,none,24,20,72,50,360,30,30,tabu8,partition,heuristic,0,
86,2,LTO,none,24,20,72,50,360,20,20,tabu8,partition,heuristic,0,
87,2,LTO,none,24,20,72,50,360,10,10,tabu8,partition,heuristic,0,
88,2,LTO,none,24,20,72,50,360,30,30,orderedsp,partition,heuristic,0,
89,2,LTO,none,24,20,72,50,360,20,20,orderedsp,partition,heuristic,0,
90,2,LTO,none,24,20,72,50,360,10,10,orderedsp,partition,heuristic,0,
91,3,LTO,none,24,20,72,50,360,30,30,lastopt10,partition,synergy,0,
92,3,LTO,none,24,20,72,50,360,20,20,lastopt10,partition,synergy,0,
93,3,LTO,none,24,20,72,50,360,10,10,lastopt10,partition,synergy,0,
94,3,LTO,none,24,20,72,50,360,30,30,lastoptall,partition,synergy,0,
