run_id,test_instance_id,decomposition_type
1,101,ow-oip-tpf
2,101,owip-tpf
3,101,ow-oip-t-pf
4,101,owip-t-pf
5,102,ow-oip-tpf
6,102,owip-tpf
7,102,ow-oip-t-pf
8,102,owip-t-pf
9,103,ow-oip-tpf
10,103,owip-tpf
11,103,ow-oip-t-pf
12,103,owip-t-pf
13,104,ow-oip-tpf
14,104,owip-tpf
15,104,ow-oip-t-pf
16,104,owip-t-pf
17,105,ow-oip-tpf
18,105,owip-tpf
19,105,ow-oip-t-pf
20,105,owip-t-pf
21,106,ow-oip-tpf
22,106,owip-tpf
23,106,ow-oip-t-pf
24,106,owip-t-pf
25,107,ow-oip-tpf
26,107,owip-tpf
27,107,ow-oip-t-pf
28,107,owip-t-pf
29,108,ow-oip-tpf
30,108,owip-tpf
31,108,ow-oip-t-pf
32,108,owip-t-pf
33,109,ow-oip-tpf
34,109,owip-tpf
35,109,ow-oip-t-pf
36,109,owip-t-pf
37,110,ow-oip-tpf
38,110,owip-tpf
39,110,ow-oip-t-pf
40,110,owip-t-pf
41,111,ow-oip-tpf
42,111,owip-tpf
43,111,ow-oip-t-pf
44,111,owip-t-pf
45,112,ow-oip-tpf
46,112,owip-tpf
47,112,ow-oip-t-pf
48,112,owip-t-pf
49,113,ow-oip-tpf
50,113,owip-tpf
51,113,ow-oip-t-pf
52,113,owip-t-pf
53,114,ow-oip-tpf
54,114,owip-tpf
55,114,ow-oip-t-pf
56,114,owip-t-pf
57,115,ow-oip-tpf
58,115,owip-tpf
59,115,ow-oip-t-pf
60,115,owip-t-pf
61,116,ow-oip-tpf
62,116,owip-tpf
63,116,ow-oip-t-pf
64,116,owip-t-pf
65,117,ow-oip-tpf
66,117,owip-tpf
67,117,ow-oip-t-pf
68,117,owip-t-pf
69,118,ow-oip-tpf
70,118,owip-tpf
71,118,ow-oip-t-pf
72,118,owip-t-pf
73,119,ow-oip-tpf
74,119,owip-tpf
75,119,ow-oip-t-pf
76,119,owip-t-pf
77,120,ow-oip-tpf
78,120,owip-tpf
79,120,ow-oip-t-pf
80,120,owip-t-pf
81,121,ow-oip-tpf
82,121,owip-tpf
83,121,ow-oip-t-pf
84,121,owip-t-pf
85,122,ow-oip-tpf
86,122,owip-tpf
87,122,ow-oip-t-pf
88,122,owip-t-pf
89,123,ow-oip-tpf
90,123,owip-tpf
91,123,ow-oip-t-pf
92,123,owip-t-pf
93,124,ow-oip-tpf
94,124,owip-tpf
95,124,ow-oip-t-pf
96,124,owip-t-pf
97,125,ow-oip-tpf
98,125,owip-tpf
99,125,ow-oip-t-pf
100,125,owip-t-pf
101,126,ow-oip-tpf
102,126,owip-tpf
103,126,ow-oip-t-pf
104,126,owip-t-pf
105,127,ow-oip-tpf
106,127,owip-tpf
107,127,ow-oip-t-pf
108,127,owip-t-pf
109,128,ow-oip-tpf
110,128,owip-tpf
111,128,ow-oip-t-pf
112,128,owip-t-pf
113,129,ow-oip-tpf
114,129,owip-tpf
115,129,ow-oip-t-pf
116,129,owip-t-pf
117,130,ow-oip-tpf
118,130,owip-tpf
119,130,ow-oip-t-pf
120,130,owip-t-pf
121,131,ow-oip-tpf
122,131,owip-tpf
123,131,ow-oip-t-pf
124,131,owip-t-pf
125,132,ow-oip-tpf
126,132,owip-tpf
127,132,ow-oip-t-pf
128,132,owip-t-pf
129,133,ow-oip-tpf
130,133,owip-tpf
131,133,ow-oip-t-pf
132,133,owip-t-pf
133,134,ow-oip-tpf
134,134,owip-tpf
135,134,ow-oip-t-pf
136,134,owip-t-pf
137,135,ow-oip-tpf
138,135,owip-tpf
139,135,ow-oip-t-pf
140,135,owip-t-pf
141,136,ow-oip-tpf
142,136,owip-tpf
143,136,ow-oip-t-pf
144,136,owip-t-pf
145,137,ow-oip-tpf
146,137,owip-tpf
147,137,ow-oip-t-pf
148,137,owip-t-pf
149,138,ow-oip-tpf
150,138,owip-tpf
151,138,ow-oip-t-pf
152,138,owip-t-pf
153,139,ow-oip-tpf
154,139,owip-tpf
155,139,ow-oip-t-pf
156,139,owip-t-pf
157,140,ow-oip-tpf
158,140,owip-tpf
159,140,ow-oip-t-pf
160,140,owip-t-pf
161,141,ow-oip-tpf
162,141,owip-tpf
163,141,ow-oip-t-pf
164,141,owip-t-pf
165,142,ow-oip-tpf
166,142,owip-tpf
167,142,ow-oip-t-pf
168,142,owip-t-pf
169,143,ow-oip-tpf
170,143,owip-tpf
171,143,ow-oip-t-pf
172,143,owip-t-pf
173,144,ow-oip-tpf
174,144,owip-tpf
175,144,ow-oip-t-pf
176,144,owip-t-pf
177,145,ow-oip-tpf
178,145,owip-tpf
179,145,ow-oip-t-pf
180,145,owip-t-pf
181,146,ow-oip-tpf
182,146,owip-tpf
183,146,ow-oip-t-pf
184,146,owip-t-pf
185,147,ow-oip-tpf
186,147,owip-tpf
187,147,ow-oip-t-pf
188,147,owip-t-pf
189,148,ow-oip-tpf
190,148,owip-tpf
191,148,ow-oip-t-pf
192,148,owip-t-pf
