run_id,train_instance_id,method,initialization,targetnumpods,targetnumorders,targetnumitems,subproblemsevaluated,subproblemtimeinterval,timeforreooptimization,stationtostation_flag,targetnumworkstations,anystorageloc_flag
1,1,random,none,28,20,64,30,360,5,0,,0
2,1,random,greedy,28,20,64,30,360,5,0,,0
3,2,random,none,28,20,64,30,360,5,0,,0
4,2,random,greedy,28,20,64,30,360,5,0,,0
5,3,random,none,28,20,64,30,360,5,0,,0
6,3,random,greedy,28,20,64,30,360,5,0,,0
7,4,random,none,28,20,64,30,360,5,0,,0
8,4,random,greedy,28,20,64,30,360,5,0,,0
9,5,random,none,28,20,64,30,360,5,0,,0
10,5,random,greedy,28,20,64,30,360,5,0,,0
11,6,random,none,28,20,64,30,360,5,0,,0
12,6,random,greedy,28,20,64,30,360,5,0,,0
13,7,random,none,28,20,64,30,360,5,0,,0
14,7,random,greedy,28,20,64,30,360,5,0,,0
15,8,random,none,28,20,64,30,360,5,0,,0
16,8,random,greedy,28,20,64,30,360,5,0,,0
17,9,random,none,28,20,64,30,360,5,0,,0
18,9,random,greedy,28,20,64,30,360,5,0,,0
19,10,random,none,28,20,64,30,360,5,0,,0
20,10,random,greedy,28,20,64,30,360,5,0,,0
21,11,random,none,28,20,64,30,360,5,0,,0
22,11,random,greedy,28,20,64,30,360,5,0,,0
23,12,random,none,28,20,64,30,360,5,0,,0
24,12,random,greedy,28,20,64,30,360,5,0,,0
25,13,random,none,28,20,64,30,360,5,0,,0
26,13,random,greedy,28,20,64,30,360,5,0,,0
27,14,random,none,28,20,64,30,360,5,0,,0
28,14,random,greedy,28,20,64,30,360,5,0,,0
29,15,random,none,28,20,64,30,360,5,0,,0
30,15,random,greedy,28,20,64,30,360,5,0,,0
31,16,random,none,28,20,64,30,360,5,0,,0
32,16,random,greedy,28,20,64,30,360,5,0,,0
33,17,random,none,28,20,64,30,360,5,0,,0
34,17,random,greedy,28,20,64,30,360,5,0,,0
35,18,random,none,28,20,64,30,360,5,0,,0
36,18,random,greedy,28,20,64,30,360,5,0,,0
37,19,random,none,28,20,64,30,360,5,0,,0
38,19,random,greedy,28,20,64,30,360,5,0,,0
39,20,random,none,28,20,64,30,360,5,0,,0
40,20,random,greedy,28,20,64,30,360,5,0,,0
41,21,random,none,28,20,64,30,360,5,0,,0
42,21,random,greedy,28,20,64,30,360,5,0,,0
43,22,random,none,28,20,64,30,360,5,0,,0
44,22,random,greedy,28,20,64,30,360,5,0,,0
45,23,random,none,28,20,64,30,360,5,0,,0
46,23,random,greedy,28,20,64,30,360,5,0,,0
47,24,random,none,28,20,64,30,360,5,0,,0
