experiment,warehouse,random_seed,horizon_start,horizon_end,workstationsperpartition
1,1,37474,6300,7200,2
2,1,4771,7200,8100,2
3,1,11308,8100,9000,2
4,1,24610,9000,9900,2
5,1,45172,3600,4500,2
6,1,33618,4500,5400,2
7,1,6741,5400,6300,2
8,1,30666,6300,7200,2
9,1,34969,7200,8100,2
10,1,7163,8100,9000,2
11,1,32319,6300,7200,2
12,1,38593,7200,8100,2
13,1,36741,8100,9000,2
14,1,21526,9000,9900,2
15,1,45050,3600,4500,2
16,1,26725,4500,5400,2
17,1,18567,5400,6300,2
18,1,36488,6300,7200,2
19,1,74909,7200,8100,2
20,1,71068,8100,9000,2
21,1,92191,6300,7200,2
22,1,30863,7200,8100,2
23,1,42106,8100,9000,2
24,1,78970,9000,9900,2
25,1,63995,3600,4500,2
26,1,38354,4500,5400,2
27,1,28811,5400,6300,2
28,1,4184,6300,7200,2
29,1,60765,7200,8100,2
30,1,32670,8100,9000,2
31,1,83528,6300,7200,2
32,1,49263,7200,8100,2
33,1,42934,8100,9000,2
34,1,1769,9000,9900,2
35,1,9821,3600,4500,2
36,1,25155,4500,5400,2
37,1,67600,5400,6300,2
38,1,95282,6300,7200,2
39,1,7582,7200,8100,2
40,1,30485,8100,9000,2
41,1,73430,6300,7200,2
42,1,35847,7200,8100,2
43,1,18244,8100,9000,2
44,1,81150,9000,9900,2
45,1,29368,3600,4500,2
46,1,92020,4500,5400,2
47,1,64385,5400,6300,2
48,1,12777,6300,7200,2
49,1,11567,7200,8100,2
50,1,40298,8100,9000,2
51,1,46764,6300,7200,2
52,1,64027,7200,8100,2
53,1,65751,8100,9000,2
54,1,8515,9000,9900,2
55,1,86224,3600,4500,2
56,1,59169,4500,5400,2
57,1,84495,5400,6300,2
58,1,59806,6300,7200,2
59,1,19986,7200,8100,2
60,1,46825,8100,9000,2
61,1,65206,6300,7200,2
62,1,9160,7200,8100,2
63,1,33501,8100,9000,2
64,1,29681,9000,9900,2
65,1,8834,3600,4500,2
66,1,56020,4500,5400,2
67,1,40084,5400,6300,2
68,1,23948,6300,7200,2
69,1,23050,7200,8100,2
70,1,43915,8100,9000,2
71,1,51152,6300,7200,2
72,1,61871,7200,8100,2
73,1,14339,8100,9000,2
74,1,10076,9000,9900,2
75,1,39121,3600,4500,2
76,1,63778,4500,5400,2
77,1,78815,5400,6300,2
78,1,55307,6300,7200,2
79,1,64940,7200,8100,2
80,1,586,8100,9000,2
81,1,96966,6300,7200,2
82,1,21042,7200,8100,2
83,1,80569,8100,9000,2
84,1,71734,9000,9900,2
85,1,74666,3600,4500,2
86,1,69247,4500,5400,2
87,1,21277,5400,6300,2
88,1,468,6300,7200,2
89,1,74330,7200,8100,2
90,1,77107,8100,9000,2
91,1,43588,6300,7200,2
92,1,26803,7200,8100,2
93,1,81766,8100,9000,2
94,1,79797,9000,9900,2
95,1,37619,3600,4500,2
96,1,17278,4500,5400,2
97,1,1000,5400,6300,2
98,1,99778,6300,7200,2
99,1,69258,7200,8100,2
100,1,15900,8100,9000,2
101,2,30322,9000,9900,2
102,2,27047,3600,4500,2
103,2,42055,4500,5400,2
104,2,40951,5400,6300,2
105,2,21053,6300,7200,2
106,2,51632,7200,8100,2
107,2,54742,8100,9000,2
108,2,68390,9000,9900,2
109,2,54023,3600,4500,2
110,2,95437,4500,5400,2
111,2,96279,9000,9900,2
112,2,43794,3600,4500,2
113,2,78031,4500,5400,2
114,2,720,5400,6300,2
115,2,40237,6300,7200,2
116,2,51536,7200,8100,2
117,2,64712,8100,9000,2
118,2,94247,9000,9900,2
119,2,7230,3600,4500,2
120,2,57135,4500,5400,2
121,2,69286,9000,9900,2
122,2,83530,3600,4500,2
123,2,7830,4500,5400,2
124,2,96009,5400,6300,2
125,2,29632,6300,7200,2
126,2,89116,7200,8100,2
127,2,41796,8100,9000,2
128,2,78438,9000,9900,2
129,2,63130,3600,4500,2
130,2,27782,4500,5400,2
131,2,22016,9000,9900,2
132,2,32111,3600,4500,2
133,2,25533,4500,5400,2
134,2,60732,5400,6300,2
135,2,45740,6300,7200,2
136,2,48781,7200,8100,2
137,2,15273,8100,9000,2
138,2,75143,9000,9900,2
139,2,34994,3600,4500,2
140,2,12972,4500,5400,2
141,2,87000,9000,9900,2
142,2,25966,3600,4500,2
143,2,46841,4500,5400,2
144,2,32822,5400,6300,2
145,2,42757,6300,7200,2
146,2,78102,7200,8100,2
147,2,24065,8100,9000,2
148,2,54577,9000,9900,2
149,2,30734,3600,4500,2
150,2,13663,4500,5400,2
151,2,48534,9000,9900,2
152,2,13756,3600,4500,2
153,2,53074,4500,5400,2
154,2,15970,5400,6300,2
155,2,47572,6300,7200,2
156,2,54103,7200,8100,2
157,2,24668,8100,9000,2
158,2,83168,9000,9900,2
159,2,52201,3600,4500,2
160,2,54909,4500,5400,2
161,2,12528,9000,9900,2
162,2,129,3600,4500,2
163,2,94866,4500,5400,2
164,2,65506,5400,6300,2
165,2,68001,6300,7200,2
166,2,83726,7200,8100,2
167,2,76099,8100,9000,2
168,2,87268,9000,9900,2
169,2,33943,3600,4500,2
170,2,6513,4500,5400,2
171,2,23247,9000,9900,2
172,2,9862,3600,4500,2
173,2,45032,4500,5400,2
174,2,34232,5400,6300,2
175,2,20404,6300,7200,2
176,2,55710,7200,8100,2
177,2,30766,8100,9000,2
178,2,70019,9000,9900,2
179,2,2515,3600,4500,2
180,2,2130,4500,5400,2
181,2,76234,9000,9900,2
182,2,95890,3600,4500,2
183,2,48841,4500,5400,2
184,2,32479,5400,6300,2
185,2,77375,6300,7200,2
186,2,46711,7200,8100,2
187,2,2862,8100,9000,2
188,2,7025,9000,9900,2
189,2,58060,3600,4500,2
190,2,252,4500,5400,2
191,2,90548,9000,9900,2
192,2,65015,3600,4500,2
193,2,29465,4500,5400,2
194,2,57977,5400,6300,2
195,2,81872,6300,7200,2
196,2,1499,7200,8100,2
197,2,78486,8100,9000,2
198,2,73269,9000,9900,2
199,2,44175,3600,4500,2
200,2,80120,4500,5400,2
