pod,picks,dist
385,3,96.0
377,5,38.0
384,2,38.0
371,2,38.0
138,2,38.0
194,4,40.0
167,3,48.0
42,3,56.0
248,1,138.0
280,2,24.0
211,3,20.0
442,2,40.0
696,2,36.0
255,3,60.0
160,2,64.0
195,1,40.0
374,1,38.0
664,1,116.0
94,3,56.0
435,3,40.0
138,2,76.0
600,3,12.0
332,3,56.0
276,2,80.0
299,2,68.0
131,2,38.0
231,5,46.0
679,2,36.0
250,2,60.0
492,1,60.0
47,2,80.0
407,2,96.0
613,2,140.0
435,3,20.0
22,5,30.0
536,3,36.0
609,2,108.0
444,2,60.0
641,2,64.0
299,2,68.0
500,1,60.0
446,2,20.0
231,2,14.0
56,5,36.0
60,2,36.0
416,2,52.0
348,1,44.0
444,1,20.0
584,3,44.0
544,2,18.0
263,2,30.0
603,2,76.0
363,2,76.0
280,2,48.0
77,2,12.0
280,2,80.0
138,2,76.0
26,4,48.0
211,3,40.0
100,2,12.0
444,2,40.0
195,1,40.0
374,2,114.0
415,3,42.0
285,2,80.0
138,2,76.0
271,1,48.0
368,2,38.0
276,1,80.0
57,2,36.0
250,2,60.0
560,2,88.0
1,2,92.0
435,3,20.0
154,1,64.0
609,2,108.0
285,2,40.0
17,2,46.0
501,2,106.0
271,3,48.0
299,2,34.0
500,1,30.0
367,2,108.0
444,2,40.0
522,1,56.0
231,2,14.0
527,1,48.0
416,3,52.0
444,2,40.0
449,2,36.0
501,2,76.0
556,1,36.0
369,5,92.0
367,2,146.0
363,2,114.0
629,2,48.0
623,2,54.0
290,2,68.0
369,2,38.0
203,3,40.0
292,2,68.0
232,3,60.0
126,1,76.0
415,1,68.0
144,3,76.0
19,2,46.0
290,2,34.0
368,2,38.0
489,2,124.0
285,2,48.0
390,2,96.0
159,3,96.0
193,1,72.0
534,2,36.0
540,1,36.0
399,3,64.0
285,2,80.0
17,2,46.0
271,3,48.0
201,2,40.0
121,1,76.0
48,3,112.0
408,2,64.0
636,2,64.0
493,3,60.0
501,3,60.0
367,2,76.0
272,2,80.0
186,3,52.0
717,2,92.0
196,2,20.0
408,2,32.0
629,1,48.0
405,2,64.0
658,2,58.0
244,2,60.0
369,5,54.0
167,3,48.0
248,3,46.0
356,4,12.0
122,2,54.0
486,2,60.0
126,5,76.0
443,1,40.0
664,1,74.0
377,5,76.0
439,2,40.0
654,2,84.0
261,2,46.0
144,3,38.0
200,3,72.0
290,2,34.0
484,3,124.0
167,2,96.0
42,1,56.0
248,1,92.0
131,3,76.0
213,1,60.0
409,1,84.0
664,2,42.0
534,2,36.0
249,2,60.0
383,2,76.0
241,3,60.0
209,3,40.0
131,2,76.0
37,2,80.0
201,2,20.0
121,1,76.0
281,2,80.0
688,1,104.0
492,2,92.0
407,2,48.0
636,2,160.0
536,2,36.0
60,2,36.0
196,2,40.0
262,2,92.0
408,2,64.0
635,1,64.0
567,2,88.0
244,2,60.0
661,3,116.0
584,3,44.0
483,2,62.0
544,2,36.0
280,2,24.0
122,1,54.0
263,2,60.0
256,2,92.0
235,1,28.0
