pod,itempicks,disttraveled
1,2,92.0
17,2,138.0
19,2,92.0
22,5,184.0
26,4,48.0
37,2,80.0
42,4,112.0
47,2,80.0
48,3,112.0
56,5,54.0
57,2,36.0
60,2,72.0
77,2,24.0
94,3,56.0
100,2,12.0
121,2,228.0
122,3,108.0
126,6,190.0
131,5,190.0
138,4,266.0
144,3,114.0
154,1,64.0
159,3,96.0
160,2,64.0
167,5,240.0
186,3,52.0
193,1,108.0
194,4,40.0
195,2,80.0
196,2,60.0
200,3,72.0
201,2,60.0
203,3,40.0
209,3,40.0
211,3,60.0
213,1,100.0
231,7,74.0
232,3,60.0
235,1,28.0
241,3,60.0
244,4,120.0
248,5,322.0
249,2,60.0
250,4,150.0
255,3,90.0
256,2,92.0
261,2,92.0
262,2,92.0
263,2,90.0
271,4,144.0
272,2,80.0
276,3,160.0
280,4,176.0
281,2,80.0
285,4,272.0
290,4,170.0
292,2,68.0
299,2,170.0
332,3,56.0
348,1,44.0
356,4,12.0
363,4,190.0
367,3,330.0
368,2,114.0
369,7,238.0
371,2,76.0
374,3,190.0
377,5,152.0
383,2,76.0
384,2,76.0
385,3,96.0
390,2,96.0
399,3,64.0
405,2,64.0
407,2,144.0
408,2,160.0
409,1,84.0
415,4,136.0
416,5,104.0
435,3,80.0
439,2,40.0
442,2,40.0
443,1,40.0
444,5,200.0
446,2,40.0
449,2,72.0
483,2,124.0
484,3,186.0
486,2,60.0
489,2,124.0
492,3,152.0
493,3,60.0
500,1,90.0
501,7,242.0
522,1,112.0
527,1,48.0
534,2,72.0
536,5,72.0
540,1,36.0
544,2,54.0
556,1,36.0
560,2,88.0
567,2,88.0
584,3,88.0
600,3,12.0
603,2,76.0
609,2,216.0
613,2,140.0
623,2,108.0
629,3,96.0
635,1,96.0
636,4,288.0
641,2,96.0
654,2,84.0
658,2,116.0
661,3,116.0
664,4,232.0
679,2,72.0
688,1,104.0
696,2,72.0
717,2,92.0
