pod,itempicks,disttraveled
290,2,68
641,2,128
484,5,124
262,3,92
390,1,96
292,2,68
536,2,100
42,2,48
56,2,36
217,3,28
272,3,80
280,2,80
544,2,100
649,3,116
211,3,40
26,2,48
348,2,44
426,3,84
613,1,140
196,3,40
507,1,112
409,1,84
489,3,124
131,2,76
149,2,64
26,1,48
70,2,36
231,1,28
232,2,28
138,3,76
368,1,108
129,1,76
365,2,108
47,1,48
369,3,108
19,2,60
332,2,56
57,2,36
200,2,40
271,3,80
369,1,108
623,5,140
435,3,72
584,1,76
501,2,124
603,2,140
203,1,40
280,3,48
42,1,80
367,3,76
501,5,92
125,2,76
159,2,64
203,1,40
332,3,24
258,1,60
356,2,12
56,2,68
128,2,76
121,1,76
144,1,76
635,1,96
248,2,60
261,2,60
371,3,76
376,1,76
47,1,80
356,2,12
416,1,52
439,3,40
9,1,92
48,3,80
136,1,76
383,1,76
429,1,52
154,2,64
160,2,64
255,3,60
420,1,52
377,5,76
370,2,76
374,2,76
126,2,76
132,1,76
249,1,60
250,1,60
252,1,60
77,1,56
104,3,44
122,1,76
399,3,64
1,2,92
636,2,96
37,2,80
534,2,68
280,1,48
444,3,40
126,2,76
390,2,64
363,2,76
609,2,108
122,2,76
285,2,48
200,1,40
250,3,60
17,3,124
636,1,64
18,1,124
263,3,92
22,5,124
383,4,76
415,5,52
486,2,60
493,2,60
635,3,64
643,1,64
125,2,108
248,1,92
257,1,92
376,1,76
408,1,64
251,2,92
388,2,64
56,1,100
500,3,60
527,3,48
536,1,36
154,2,96
367,2,76
13,2,124
381,2,76
405,3,64
641,1,64
429,1,52
536,3,36
365,1,76
384,3,76
24,2,124
527,2,48
487,2,60
687,2,40
411,2,52
695,2,40
405,1,64
492,1,60
536,1,36
231,2,60
655,2,52
641,2,64
643,2,64
47,3,112
363,1,76
126,1,108
244,1,92
636,1,64
311,2,68
374,2,76
186,2,84
561,2,24
122,2,108
415,2,52
