pod,picktype,picks
17,Item picks,3
203,Item picks,1
280,Item picks,3
290,Item picks,2
636,Item picks,1
641,Item picks,2
18,Item picks,1
42,Item picks,1
263,Item picks,3
367,Item picks,3
484,Item picks,5
22,Item picks,5
262,Item picks,3
390,Item picks,1
501,Item picks,5
125,Item picks,2
159,Item picks,2
292,Item picks,2
383,Item picks,4
536,Item picks,2
42,Item picks,2
56,Item picks,2
203,Item picks,1
332,Item picks,3
415,Item picks,5
217,Item picks,3
258,Item picks,1
356,Item picks,2
486,Item picks,2
493,Item picks,2
56,Item picks,2
128,Item picks,2
272,Item picks,3
635,Item picks,3
643,Item picks,1
121,Item picks,1
125,Item picks,2
144,Item picks,1
248,Item picks,1
280,Item picks,2
544,Item picks,2
635,Item picks,1
248,Item picks,2
257,Item picks,1
261,Item picks,2
376,Item picks,1
408,Item picks,1
649,Item picks,3
211,Item picks,3
251,Item picks,2
371,Item picks,3
376,Item picks,1
388,Item picks,2
26,Item picks,2
47,Item picks,1
56,Item picks,1
348,Item picks,2
356,Item picks,2
500,Item picks,3
416,Item picks,1
426,Item picks,3
439,Item picks,3
527,Item picks,3
536,Item picks,1
613,Item picks,1
9,Item picks,1
48,Item picks,3
154,Item picks,2
196,Item picks,3
367,Item picks,2
507,Item picks,1
13,Item picks,2
136,Item picks,1
381,Item picks,2
383,Item picks,1
409,Item picks,1
429,Item picks,1
489,Item picks,3
131,Item picks,2
149,Item picks,2
154,Item picks,2
160,Item picks,2
405,Item picks,3
641,Item picks,1
26,Item picks,1
70,Item picks,2
255,Item picks,3
420,Item picks,1
429,Item picks,1
536,Item picks,3
365,Item picks,1
377,Item picks,5
384,Item picks,3
24,Item picks,2
231,Item picks,1
232,Item picks,2
370,Item picks,2
374,Item picks,2
527,Item picks,2
126,Item picks,2
132,Item picks,1
138,Item picks,3
368,Item picks,1
487,Item picks,2
687,Item picks,2
129,Item picks,1
249,Item picks,1
250,Item picks,1
252,Item picks,1
365,Item picks,2
411,Item picks,2
695,Item picks,2
47,Item picks,1
369,Item picks,3
405,Item picks,1
492,Item picks,1
536,Item picks,1
19,Item picks,2
77,Item picks,1
104,Item picks,3
231,Item picks,2
332,Item picks,2
655,Item picks,2
122,Item picks,1
399,Item picks,3
641,Item picks,2
643,Item picks,2
1,Item picks,2
47,Item picks,3
363,Item picks,1
636,Item picks,2
37,Item picks,2
126,Item picks,1
244,Item picks,1
534,Item picks,2
636,Item picks,1
57,Item picks,2
200,Item picks,2
280,Item picks,1
311,Item picks,2
374,Item picks,2
444,Item picks,3
126,Item picks,2
186,Item picks,2
271,Item picks,3
369,Item picks,1
390,Item picks,2
561,Item picks,2
122,Item picks,2
363,Item picks,2
415,Item picks,2
609,Item picks,2
623,Item picks,5
122,Item picks,2
285,Item picks,2
435,Item picks,3
584,Item picks,1
200,Item picks,1
250,Item picks,3
501,Item picks,2
603,Item picks,2
17,Order picks,3
203,Order picks,1
280,Order picks,3
290,Order picks,2
636,Order picks,1
641,Order picks,2
18,Order picks,1
42,Order picks,1
263,Order picks,3
367,Order picks,3
484,Order picks,5
22,Order picks,5
262,Order picks,3
390,Order picks,1
501,Order picks,5
125,Order picks,2
159,Order picks,2
292,Order picks,2
383,Order picks,4
536,Order picks,2
42,Order picks,2
56,Order picks,2
203,Order picks,1
332,Order picks,3
415,Order picks,5
217,Order picks,3
258,Order picks,1
356,Order picks,2
486,Order picks,2
493,Order picks,2
56,Order picks,2
128,Order picks,2
272,Order picks,3
635,Order picks,3
643,Order picks,1
121,Order picks,1
125,Order picks,2
144,Order picks,1
248,Order picks,1
280,Order picks,2
544,Order picks,2
635,Order picks,1
248,Order picks,2
257,Order picks,1
261,Order picks,2
376,Order picks,1
408,Order picks,1
649,Order picks,3
211,Order picks,3
251,Order picks,2
371,Order picks,3
376,Order picks,1
388,Order picks,2
26,Order picks,2
47,Order picks,1
56,Order picks,1
348,Order picks,2
356,Order picks,2
500,Order picks,3
416,Order picks,1
426,Order picks,3
439,Order picks,3
527,Order picks,3
536,Order picks,1
613,Order picks,1
9,Order picks,1
48,Order picks,3
154,Order picks,2
196,Order picks,3
367,Order picks,2
507,Order picks,1
13,Order picks,2
136,Order picks,1
381,Order picks,2
383,Order picks,1
409,Order picks,1
429,Order picks,1
489,Order picks,3
131,Order picks,2
149,Order picks,2
154,Order picks,2
160,Order picks,2
405,Order picks,3
641,Order picks,1
26,Order picks,1
70,Order picks,2
255,Order picks,3
420,Order picks,1
429,Order picks,1
536,Order picks,3
365,Order picks,1
377,Order picks,5
384,Order picks,3
24,Order picks,2
231,Order picks,1
232,Order picks,2
370,Order picks,2
374,Order picks,2
527,Order picks,2
126,Order picks,2
132,Order picks,1
138,Order picks,3
368,Order picks,1
487,Order picks,2
687,Order picks,2
129,Order picks,1
249,Order picks,1
250,Order picks,1
252,Order picks,1
365,Order picks,2
411,Order picks,2
695,Order picks,2
47,Order picks,1
369,Order picks,3
405,Order picks,1
492,Order picks,1
536,Order picks,1
19,Order picks,2
77,Order picks,1
