pod,picktype,picks
23,Item picks,3
23,Order picks,3
11,Item picks,1
11,Order picks,1
154,Item picks,1
154,Order picks,1
20,Item picks,3
20,Order picks,2
12,Item picks,2
12,Order picks,2
183,Item picks,2
183,Order picks,2
73,Item picks,3
73,Order picks,3
11,Item picks,1
11,Order picks,1
206,Item picks,2
206,Order picks,2
18,Item picks,2
18,Order picks,1
2,Item picks,1
2,Order picks,1
93,Item picks,2
93,Order picks,2
50,Item picks,3
50,Order picks,3
129,Item picks,1
129,Order picks,1
65,Item picks,5
65,Order picks,5
73,Item picks,2
73,Order picks,1
46,Item picks,1
46,Order picks,1
14,Item picks,1
14,Order picks,1
166,Item picks,1
166,Order picks,1
50,Item picks,1
50,Order picks,1
46,Item picks,2
46,Order picks,2
45,Item picks,2
45,Order picks,2
181,Item picks,5
181,Order picks,5
8,Item picks,5
8,Order picks,5
156,Item picks,5
156,Order picks,5
13,Item picks,2
13,Order picks,2
258,Item picks,2
258,Order picks,2
10,Item picks,2
10,Order picks,2
179,Item picks,2
179,Order picks,2
81,Item picks,3
81,Order picks,3
158,Item picks,1
158,Order picks,1
4,Item picks,4
4,Order picks,4
14,Item picks,1
14,Order picks,1
76,Item picks,3
76,Order picks,3
14,Item picks,3
14,Order picks,3
37,Item picks,1
37,Order picks,1
96,Item picks,1
96,Order picks,1
92,Item picks,2
92,Order picks,2
88,Item picks,2
88,Order picks,2
34,Item picks,1
34,Order picks,1
16,Item picks,3
16,Order picks,3
11,Item picks,1
11,Order picks,1
258,Item picks,2
258,Order picks,2
75,Item picks,2
75,Order picks,1
93,Item picks,3
93,Order picks,2
88,Item picks,1
88,Order picks,1
16,Item picks,2
16,Order picks,2
89,Item picks,2
89,Order picks,2
85,Item picks,5
85,Order picks,5
45,Item picks,3
45,Order picks,3
4,Item picks,1
4,Order picks,1
82,Item picks,2
82,Order picks,2
167,Item picks,2
167,Order picks,1
119,Item picks,2
119,Order picks,2
92,Item picks,2
92,Order picks,1
93,Item picks,2
93,Order picks,2
1,Item picks,2
1,Order picks,2
198,Item picks,3
198,Order picks,3
5,Item picks,1
5,Order picks,1
87,Item picks,2
87,Order picks,2
205,Item picks,2
205,Order picks,2
74,Item picks,1
74,Order picks,1
150,Item picks,3
150,Order picks,3
183,Item picks,2
183,Order picks,2
116,Item picks,2
116,Order picks,2
82,Item picks,2
82,Order picks,2
227,Item picks,2
227,Order picks,2
172,Item picks,2
172,Order picks,2
159,Item picks,2
159,Order picks,2
87,Item picks,2
87,Order picks,2
204,Item picks,2
204,Order picks,2
208,Item picks,3
208,Order picks,3
114,Item picks,1
114,Order picks,1
205,Item picks,5
205,Order picks,4
172,Item picks,1
172,Order picks,1
198,Item picks,3
198,Order picks,2
1,Item picks,2
1,Order picks,2
150,Item picks,2
150,Order picks,1
185,Item picks,3
185,Order picks,3
163,Item picks,1
163,Order picks,1
204,Item picks,2
204,Order picks,2
74,Item picks,2
74,Order picks,2
91,Item picks,1
91,Order picks,1
149,Item picks,1
149,Order picks,1
114,Item picks,3
114,Order picks,3
238,Item picks,1
238,Order picks,1
116,Item picks,3
116,Order picks,3
149,Item picks,1
149,Order picks,1
91,Item picks,2
91,Order picks,2
156,Item picks,2
156,Order picks,2
78,Item picks,2
78,Order picks,2
89,Item picks,2
89,Order picks,2
13,Item picks,3
13,Order picks,3
179,Item picks,1
179,Order picks,1
158,Item picks,1
158,Order picks,1
149,Item picks,1
149,Order picks,1
82,Item picks,1
82,Order picks,1
77,Item picks,2
77,Order picks,2
240,Item picks,2
240,Order picks,2
94,Item picks,1
94,Order picks,1
148,Item picks,2
148,Order picks,2
119,Item picks,2
119,Order picks,2
146,Item picks,2
146,Order picks,2
169,Item picks,3
169,Order picks,2
153,Item picks,1
153,Order picks,1
167,Item picks,2
167,Order picks,2
179,Item picks,1
179,Order picks,1
229,Item picks,5
229,Order picks,4
88,Item picks,1
88,Order picks,1
164,Item picks,3
164,Order picks,3
158,Item picks,2
158,Order picks,2
96,Item picks,2
96,Order picks,1
85,Item picks,2
85,Order picks,1
13,Item picks,2
13,Order picks,1
155,Item picks,2
155,Order picks,1
258,Item picks,2
258,Order picks,2
