pod,picktype,picks
1,Item picks,2
17,Item picks,2
19,Item picks,2
22,Item picks,5
26,Item picks,4
37,Item picks,2
42,Item picks,4
47,Item picks,2
48,Item picks,3
56,Item picks,5
57,Item picks,2
60,Item picks,2
77,Item picks,2
94,Item picks,3
100,Item picks,2
121,Item picks,2
122,Item picks,3
126,Item picks,6
131,Item picks,5
138,Item picks,4
144,Item picks,3
154,Item picks,1
159,Item picks,3
160,Item picks,2
167,Item picks,5
186,Item picks,3
193,Item picks,1
194,Item picks,4
195,Item picks,2
196,Item picks,2
200,Item picks,3
201,Item picks,2
203,Item picks,3
209,Item picks,3
211,Item picks,3
213,Item picks,1
231,Item picks,7
232,Item picks,3
235,Item picks,1
241,Item picks,3
244,Item picks,4
248,Item picks,5
249,Item picks,2
250,Item picks,4
255,Item picks,3
256,Item picks,2
261,Item picks,2
262,Item picks,2
263,Item picks,2
271,Item picks,4
272,Item picks,2
276,Item picks,3
280,Item picks,4
281,Item picks,2
285,Item picks,4
290,Item picks,4
292,Item picks,2
299,Item picks,2
332,Item picks,3
348,Item picks,1
356,Item picks,4
363,Item picks,4
367,Item picks,3
368,Item picks,2
369,Item picks,7
371,Item picks,2
374,Item picks,3
377,Item picks,5
383,Item picks,2
384,Item picks,2
385,Item picks,3
390,Item picks,2
399,Item picks,3
405,Item picks,2
407,Item picks,2
408,Item picks,2
409,Item picks,1
415,Item picks,4
416,Item picks,5
435,Item picks,3
439,Item picks,2
442,Item picks,2
443,Item picks,1
444,Item picks,5
446,Item picks,2
449,Item picks,2
483,Item picks,2
484,Item picks,3
486,Item picks,2
489,Item picks,2
492,Item picks,3
493,Item picks,3
500,Item picks,1
501,Item picks,7
522,Item picks,1
527,Item picks,1
534,Item picks,2
536,Item picks,5
540,Item picks,1
544,Item picks,2
556,Item picks,1
560,Item picks,2
567,Item picks,2
584,Item picks,3
600,Item picks,3
603,Item picks,2
609,Item picks,2
613,Item picks,2
623,Item picks,2
629,Item picks,3
635,Item picks,1
636,Item picks,4
641,Item picks,2
654,Item picks,2
658,Item picks,2
661,Item picks,3
664,Item picks,4
679,Item picks,2
688,Item picks,1
696,Item picks,2
717,Item picks,2
1,Order picks,2
17,Order picks,2
19,Order picks,2
22,Order picks,5
26,Order picks,4
37,Order picks,2
42,Order picks,4
47,Order picks,2
48,Order picks,3
56,Order picks,5
57,Order picks,2
60,Order picks,2
77,Order picks,2
94,Order picks,3
100,Order picks,2
121,Order picks,2
122,Order picks,3
126,Order picks,4
131,Order picks,5
138,Order picks,4
144,Order picks,2
154,Order picks,1
159,Order picks,3
160,Order picks,2
167,Order picks,5
186,Order picks,3
193,Order picks,1
194,Order picks,4
195,Order picks,2
196,Order picks,2
200,Order picks,3
201,Order picks,2
203,Order picks,3
209,Order picks,3
211,Order picks,3
213,Order picks,1
231,Order picks,6
232,Order picks,3
235,Order picks,1
241,Order picks,3
244,Order picks,3
248,Order picks,5
249,Order picks,2
250,Order picks,4
255,Order picks,3
256,Order picks,2
261,Order picks,2
262,Order picks,1
263,Order picks,2
271,Order picks,4
272,Order picks,2
276,Order picks,3
280,Order picks,4
281,Order picks,2
285,Order picks,4
290,Order picks,4
292,Order picks,2
299,Order picks,2
332,Order picks,3
348,Order picks,1
356,Order picks,3
363,Order picks,4
367,Order picks,3
368,Order picks,2
369,Order picks,6
371,Order picks,2
374,Order picks,3
377,Order picks,4
383,Order picks,2
384,Order picks,2
385,Order picks,3
390,Order picks,2
399,Order picks,3
405,Order picks,2
407,Order picks,1
408,Order picks,2
409,Order picks,1
415,Order picks,4
416,Order picks,4
435,Order picks,2
439,Order picks,1
442,Order picks,2
443,Order picks,1
444,Order picks,5
446,Order picks,2
449,Order picks,2
483,Order picks,2
484,Order picks,3
486,Order picks,2
489,Order picks,2
492,Order picks,3
493,Order picks,2
500,Order picks,1
501,Order picks,7
522,Order picks,1
527,Order picks,1
534,Order picks,2
536,Order picks,4
540,Order picks,1
544,Order picks,2
556,Order picks,1
560,Order picks,2
567,Order picks,2
584,Order picks,3
600,Order picks,2
603,Order picks,2
609,Order picks,2
613,Order picks,2
623,Order picks,2
629,Order picks,3
635,Order picks,1
636,Order picks,4
641,Order picks,2
654,Order picks,2
658,Order picks,2
661,Order picks,2
664,Order picks,4
679,Order picks,2
688,Order picks,1
696,Order picks,2
717,Order picks,2
