pod,picktype,picks
4,Item picks,2
8,Item picks,3
15,Item picks,3
19,Item picks,3
23,Item picks,2
33,Item picks,1
38,Item picks,3
39,Item picks,1
47,Item picks,1
49,Item picks,3
51,Item picks,2
58,Item picks,1
61,Item picks,6
71,Item picks,2
73,Item picks,2
78,Item picks,5
80,Item picks,3
94,Item picks,3
95,Item picks,1
101,Item picks,2
103,Item picks,1
104,Item picks,4
105,Item picks,4
129,Item picks,6
131,Item picks,3
133,Item picks,2
137,Item picks,4
139,Item picks,2
145,Item picks,1
151,Item picks,2
153,Item picks,3
166,Item picks,2
167,Item picks,2
169,Item picks,4
170,Item picks,2
174,Item picks,3
183,Item picks,3
194,Item picks,2
195,Item picks,2
203,Item picks,5
205,Item picks,3
209,Item picks,1
212,Item picks,3
213,Item picks,2
226,Item picks,1
229,Item picks,2
234,Item picks,3
246,Item picks,2
251,Item picks,4
255,Item picks,2
258,Item picks,2
259,Item picks,2
260,Item picks,3
261,Item picks,2
262,Item picks,6
263,Item picks,7
265,Item picks,2
267,Item picks,2
268,Item picks,2
269,Item picks,2
272,Item picks,2
281,Item picks,2
283,Item picks,1
295,Item picks,3
302,Item picks,2
308,Item picks,2
309,Item picks,1
313,Item picks,1
318,Item picks,2
321,Item picks,3
325,Item picks,2
331,Item picks,1
337,Item picks,1
342,Item picks,2
343,Item picks,2
369,Item picks,4
372,Item picks,2
375,Item picks,2
377,Item picks,2
380,Item picks,4
390,Item picks,1
397,Item picks,2
405,Item picks,5
406,Item picks,1
409,Item picks,2
419,Item picks,1
423,Item picks,4
424,Item picks,2
425,Item picks,3
430,Item picks,2
434,Item picks,2
439,Item picks,3
441,Item picks,3
483,Item picks,3
485,Item picks,5
487,Item picks,5
488,Item picks,3
496,Item picks,2
510,Item picks,1
521,Item picks,3
528,Item picks,2
531,Item picks,2
534,Item picks,4
546,Item picks,2
549,Item picks,2
552,Item picks,1
554,Item picks,3
557,Item picks,1
566,Item picks,2
567,Item picks,6
577,Item picks,2
578,Item picks,3
580,Item picks,4
583,Item picks,5
584,Item picks,3
601,Item picks,2
603,Item picks,3
605,Item picks,2
606,Item picks,2
625,Item picks,1
632,Item picks,4
638,Item picks,1
645,Item picks,2
646,Item picks,1
654,Item picks,5
659,Item picks,2
663,Item picks,2
667,Item picks,2
676,Item picks,2
679,Item picks,1
683,Item picks,1
688,Item picks,1
689,Item picks,3
691,Item picks,2
693,Item picks,1
695,Item picks,2
710,Item picks,3
711,Item picks,2
717,Item picks,3
4,Order picks,2
8,Order picks,3
15,Order picks,3
19,Order picks,2
23,Order picks,1
33,Order picks,1
38,Order picks,3
39,Order picks,1
47,Order picks,1
49,Order picks,2
51,Order picks,2
58,Order picks,1
61,Order picks,6
71,Order picks,2
73,Order picks,2
78,Order picks,5
80,Order picks,3
94,Order picks,3
95,Order picks,1
101,Order picks,1
103,Order picks,1
104,Order picks,4
105,Order picks,4
129,Order picks,5
131,Order picks,3
133,Order picks,2
137,Order picks,4
139,Order picks,2
145,Order picks,1
151,Order picks,2
153,Order picks,3
166,Order picks,2
167,Order picks,2
169,Order picks,4
170,Order picks,2
174,Order picks,3
183,Order picks,3
194,Order picks,2
195,Order picks,2
203,Order picks,5
205,Order picks,3
209,Order picks,1
212,Order picks,3
213,Order picks,2
226,Order picks,1
229,Order picks,2
234,Order picks,3
246,Order picks,2
251,Order picks,4
255,Order picks,2
258,Order picks,2
259,Order picks,2
260,Order picks,3
261,Order picks,2
262,Order picks,5
263,Order picks,7
265,Order picks,2
267,Order picks,2
268,Order picks,2
269,Order picks,2
272,Order picks,2
281,Order picks,2
283,Order picks,1
295,Order picks,3
302,Order picks,2
308,Order picks,2
309,Order picks,1
313,Order picks,1
318,Order picks,2
321,Order picks,3
325,Order picks,2
331,Order picks,1
337,Order picks,1
342,Order picks,2
343,Order picks,2
369,Order picks,4
372,Order picks,2
375,Order picks,2
377,Order picks,2
380,Order picks,4
390,Order picks,1
397,Order picks,2
405,Order picks,5
406,Order picks,1
409,Order picks,2
419,Order picks,1
423,Order picks,4
424,Order picks,2
425,Order picks,3
430,Order picks,2
434,Order picks,2
439,Order picks,3
441,Order picks,3
483,Order picks,2
485,Order picks,5
487,Order picks,5
488,Order picks,3
496,Order picks,2
510,Order picks,1
521,Order picks,3
528,Order picks,2
531,Order picks,1
534,Order picks,3
546,Order picks,2
549,Order picks,2
552,Order picks,1
554,Order picks,3
557,Order picks,1
566,Order picks,2
567,Order picks,5
577,Order picks,2
578,Order picks,3
580,Order picks,4
583,Order picks,5
584,Order picks,3
601,Order picks,1
603,Order picks,3
605,Order picks,2
606,Order picks,2
625,Order picks,1
632,Order picks,4
638,Order picks,1
645,Order picks,2
646,Order picks,1
654,Order picks,5
659,Order picks,2
663,Order picks,2
667,Order picks,2
676,Order picks,2
679,Order picks,1
683,Order picks,1
688,Order picks,1
689,Order picks,3
691,Order picks,2
693,Order picks,1
695,Order picks,2
710,Order picks,3
711,Order picks,2
717,Order picks,3
