row_id,run_id,test_instance_id,test_instance_mod,warehouse_id,random_seed,method,initialization,timeforsubproblem,partition,lsnsiteration,objective,solve_time,cumul_time,solvetime_init,solvetime_spselection,solvetime_spopt,time_utilization,throughput_utilization,bestthroughput_utilization,total_orders_worked,total_orders_completed,congestion_utilization,max_congestion,pods_used,unique_pods_used,items_picked_per_pod,pod_distance_travelled,order_open_time_per_item,orders_size_1,orders_size_2,orders_size_3,orders_size_4,orders_size_5,orders_size_6,orders_size_7,orders_size_8,orders_size_9,orders_size_10,orders_size_large,,,,,,
57,57,6,,1,21518,Domain-based,(cold start),,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,57,6,,1,21518,Domain-based,(cold start),,1,1,17,16.34500003,16.34500003,0,2.651000023,0.263000011,0.077956989,0.094444444,0.069444444,10,10,0.047131148,1,12,10,1.7,496,0.882352941,7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
57,57,6,,1,21518,Domain-based,(cold start),,1,2,52,2.785000086,19.13000011,0,0.039000034,1.17599988,0.217741935,0.288888889,0.197222222,23,23,0.11010929,1,29,24,2.166666667,1392,1,12,2,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0
57,57,6,,1,21518,Domain-based,(cold start),,1,3,78,1.617000103,20.74700022,0,0.029999971,0.197000027,0.333333333,0.433333333,0.297222222,34,34,0.143442623,1,46,36,2.166666667,2064,1.115384615,18,3,4,6,1,1,1,0,0,0,0,0,0,0,0,0,0
57,57,6,,1,21518,Domain-based,(cold start),,1,4,96,1.740999937,22.48800015,0,0.142999887,0.177000046,0.416666667,0.533333333,0.369444444,43,43,0.19795082,1,59,45,2.133333333,2752,1.1875,23,4,6,6,2,1,1,0,0,0,0,0,0,0,0,0,0
57,57,6,,1,21518,Domain-based,(cold start),,1,5,106,1.200000048,23.6880002,0,0.023000002,0.162999868,0.446236559,0.588888889,0.402777778,49,49,0.204644809,1,60,47,2.255319149,2716,1.188679245,27,4,8,6,2,1,1,0,0,0,0,0,0,0,0,0,0
57,57,6,,1,21518,Domain-based,(cold start),,1,6,116,1.764000177,25.45200038,0,0.021000147,0.197000027,0.48655914,0.644444444,0.441666667,55,55,0.230737705,1.25,65,50,2.32,2892,1.232758621,31,5,8,7,2,1,1,0,0,0,0,0,0,0,0,0,0
57,57,6,,1,21518,Domain-based,(cold start),,1,7,125,1.230999947,26.68300033,0,0.18900013,0.157000065,0.524193548,0.694444444,0.477777778,60,60,0.232786885,1.25,70,52,2.403846154,3028,1.352,33,7,9,7,2,1,1,0,0,0,0,0,0,0,0,0,0
57,57,6,,1,21518,Domain-based,(cold start),,1,8,127,1.97300005,28.65600038,0,0.019000053,0.91899991,0.52688172,0.705555556,0.486111111,62,62,0.228688525,1.175,69,52,2.442307692,2980,1.330708661,35,7,9,7,2,1,1,0,0,0,0,0,0,0,0,0,0
57,57,6,,1,21518,Domain-based,(cold start),,1,9,129,1.287999868,29.94400024,0,0.017999887,0.220000029,0.52688172,0.716666667,0.491666667,64,64,0.215300546,1,67,51,2.529411765,2852,1.449612403,37,7,9,7,2,1,1,0,0,0,0,0,0,0,0,0,0
